site,time,timeout,spp,type,defac,final_N,N_remaining,mass_remaining,cellulose,lignin,carbon,nitrogen,CN,LIG_N
AND,1,0.99,ACSA,L,0.218066029,1.110050045,0.924026233,70.79625,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
AND,2,1.99,ACSA,L,0.218066029,1.593377881,0.99263774,53.4535,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
AND,3,3.01,ACSA,L,0.218066029,1.652854031,0.837128329,43.047,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
AND,4,4.02,ACSA,L,0.218066029,2.020252405,0.828994182,35.2005,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
AND,5,5.02,ACSA,L,0.218066029,1.737757345,0.737790331,36.57775,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
AND,6,6.01,ACSA,L,0.218066029,1.945123503,0.598457583,26.18625,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
AND,7,7,ACSA,L,0.218066029,1.879772449,0.660352101,30.09575,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
AND,8,8.04,ACSA,L,0.218066029,2.302887639,0.550355476,20.25633333,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
AND,9,9,ACSA,L,0.218066029,1.986618952,0.495364228,21.172,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
AND,10,10.03,ACSA,L,0.218066029,2.093512612,0.480120702,19.9795,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
AND,1,0.99,DRGL,L,0.218066029,2.881780037,0.698203135,51.86075,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
AND,2,1.99,DRGL,L,0.218066029,3.653359117,0.739206053,43.2415,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
AND,3,3.01,DRGL,L,0.218066029,3.670281611,0.485082268,28.2295,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
AND,4,4.02,DRGL,L,0.218066029,3.644078007,0.436771882,25.58425,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
AND,5,5.02,DRGL,L,0.218066029,2.612043512,0.268712465,21.764,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
AND,6,6.01,DRGL,L,0.218066029,3.083575094,0.215067373,13.6895,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
AND,7,7,DRGL,L,0.218066029,3.235973944,0.285643054,18.861,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
AND,8,8.04,DRGL,L,0.218066029,2.811628069,0.161549284,12.2905,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
AND,9,9,DRGL,L,0.218066029,2.827987009,0.148702248,11.637,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
AND,10,10.03,DRGL,L,0.218066029,3.279483629,0.126993172,8.247,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
AND,1,0.99,PIRE,L,0.218066029,0.656180129,0.929884356,85.0925,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
AND,2,1.99,PIRE,L,0.218066029,0.995947034,1.220687589,73.50325,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
AND,3,3.01,PIRE,L,0.218066029,1.020897308,1.08460391,64.66433333,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
AND,4,4.02,PIRE,L,0.218066029,1.315549171,0.933884704,43.186,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
AND,5,5.02,PIRE,L,0.218066029,1.256182666,0.920301255,44.01275,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
AND,6,6.01,PIRE,L,0.218066029,1.232298987,1.167150842,57.356,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
AND,7,7,PIRE,L,0.218066029,1.575685045,0.83789633,32.21675,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
AND,8,8.04,PIRE,L,0.218066029,1.781525567,0.830794434,28.2575,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
AND,9,9,PIRE,L,0.218066029,1.553768397,0.704011252,27.23025,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
AND,10,10.03,PIRE,L,0.218066029,1.995152748,0.754502244,21.9195,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
AND,1,0.99,PIST,L,0.218066029,0.858953368,1.071947704,80.77275,39.682,20.592,52.835,0.6225,85.86116358,33.58214858
AND,9,9,PIST,L,0.218066029,1.700717661,0.693568755,27.31675,39.682,20.592,52.835,0.6225,85.86116358,33.58214858
AND,1,0.99,QUPR,L,0.218066029,1.158664809,0.754764973,70.20475,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
AND,2,1.99,QUPR,L,0.218066029,1.595312373,0.649580016,43.999,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
AND,3,3.01,QUPR,L,0.218066029,1.709602224,0.602781919,37.97433333,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
AND,4,4.02,QUPR,L,0.218066029,2.038721738,0.570342987,30.201,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
AND,5,5.02,QUPR,L,0.218066029,1.461535601,0.347225955,25.9595,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
AND,6,6.01,QUPR,L,0.218066029,1.878998186,0.422587588,24.25925,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
AND,7,7,QUPR,L,0.218066029,1.958967834,0.482303879,26.5045,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
AND,8,8.04,QUPR,L,0.218066029,2.218581749,0.502197858,24.4375,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
AND,9,9,QUPR,L,0.218066029,2.09080401,0.416066934,21.46625,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
AND,10,10.03,QUPR,L,0.218066029,2.488485966,0.469556932,20.28175,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
AND,1,0.99,RHMA,L,0.218066029,0.583570024,1.005389435,76.26575,36.902,16.952,50.7975,0.4175,126.283126,41.38436101
AND,2,1.99,RHMA,L,0.218066029,0.958244902,1.413017243,66.35025,36.902,16.952,50.7975,0.4175,126.283126,41.38436101
AND,3,3.01,SPAL,L,0.218066029,1.073809607,0.628597752,47.38225,58.773,7.124,42.72375,0.71125,62.56573713,7.558425838
AND,6,6.01,SPAL,L,0.218066029,2.395304574,1.002265863,36.98075,58.773,7.124,42.72375,0.71125,62.56573713,7.558425838
AND,1,0.99,THPL,L,0.218066029,0.794138906,0.91052641,76.93375,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
AND,2,1.99,THPL,L,0.218066029,1.118966018,1.135859382,68.24275,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
AND,3,3.01,THPL,L,0.218066029,1.051324414,0.941551241,60.35866667,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
AND,4,4.02,THPL,L,0.218066029,1.278700862,1.01744911,54.14325,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
AND,5,5.02,THPL,L,0.218066029,1.33793583,0.874797276,44.38375,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
AND,6,6.01,THPL,L,0.218066029,1.579765291,0.904222033,39.7515,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
AND,7,7,THPL,L,0.218066029,1.540712775,0.76174975,33.007,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
AND,8,8.04,THPL,L,0.218066029,1.750037027,0.711438608,27.68875,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
AND,9,9,THPL,L,0.218066029,1.732881282,0.687622062,26.69925,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
AND,10,10.03,THPL,L,0.218066029,1.940964185,0.782327098,25.9895,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
AND,1,0.99,TRAE,L,0.218066029,0.576483416,1.132209486,77.41475,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
AND,2,1.99,TRAE,L,0.218066029,0.837792787,1.517717511,71.625,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
AND,3,3.01,TRAE,L,0.218066029,1.057366295,1.434000969,54.5805,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
AND,4,4.02,TRAE,L,0.218066029,1.268514525,1.650843927,52.14275,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
AND,5,5.02,TRAE,L,0.218066029,1.521295792,1.484625134,38.0885,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
AND,6,6.01,TRAE,L,0.218066029,1.597004241,1.221584907,30.25075,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
AND,7,7,TRAE,L,0.218066029,1.986214548,1.164207907,26.749,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
AND,8,8.04,TRAE,L,0.218066029,2.220145523,1.157539065,20.47375,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
AND,9,9,TRAE,L,0.218066029,2.083829717,1.132626039,21.03675,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
AND,10,10.03,TRAE,L,0.218066029,2.488265953,1.298174193,20.59325,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
ARC,1,0.97,ACSA,L,0.078565863,0.947279503,0.80058676,72.41375,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
ARC,2,2.02,ACSA,L,0.078565863,1.119489401,0.856322864,65.327,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
ARC,3,3,ACSA,L,0.078565863,1.128943601,0.792484274,60.92625,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
ARC,4,3.99,ACSA,L,0.078565863,1.205071432,0.754127746,53.4145,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
ARC,5,4.99,ACSA,L,0.078565863,1.459488589,0.79484568,46.2765,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
ARC,6,6,ACSA,L,0.078565863,1.39702906,0.669954683,41.84175,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
