"uFastC","uSLowC","uNecroC","pFastC","pSlowC","pNecroC","livingMicrobeC","uFastN","uSlowN","uNecroN","pFastN","pSlowN","pNecroN","inorganicN","CO2","livingMicrobeN"
0.59450774,0.40549226,0,0,0,0,1e-04,0.009614776,0.006557891,0,0,0,0,0,0,0
0.615864348,0.384135652,0,0,0,0,1e-04,0.011642777,0.007261998,0,0,0,0,0,0,0
0.728823352,0.271176648,0,0,0,0,1e-04,0.018352146,0.006828367,0,0,0,0,0,0,0
0.837804954,0.162195046,0,0,0,0,1e-04,0.015013027,0.00290645,0,0,0,0,0,0,0
0.778134924,0.221865076,0,0,0,0,1e-04,0.032094337,0.009150871,0,0,0,0,0,0,0
0.451924706,0.548075294,0,0,0,0,1e-04,0.007738675,0.00938514,0,0,0,0,0,0,0
0.737304918,0.262695082,0,0,0,0,1e-04,0.016803856,0.005987062,0,0,0,0,0,0,0
0.42568,0.57432,0,0,0,0,1e-04,0.004590981,0.006194071,0,0,0,0,0,0,0
0.552308442,0.447691558,0,0,0,0,1e-04,0.010926368,0.008856723,0,0,0,0,0,0,0
0.719789807,0.280210193,0,0,0,0,1e-04,0.011504543,0.004478655,0,0,0,0,0,0,0
0.293006311,0.706993689,0,0,0,0,1e-04,0.003525265,0.008506098,0,0,0,0,0,0,0
0.291843709,0.708156291,0,0,0,0,1e-04,0.002189021,0.00531164,0,0,0,0,0,0,0
